customer_id,churn_probability,risk_level,retention_priority
4376-KFVRS,0.012200452387332916,LOW,MONITOR
2754-SDJRD,0.8135728240013123,HIGH,URGENT
9917-KWRBE,0.08399494737386703,LOW,MONITOR
0365-GXEZS,0.44083037972450256,MEDIUM,ENGAGE
9385-NXKDA,0.003111104713752866,LOW,MONITOR
4686-UXDML,0.6123734712600708,HIGH,URGENT
2227-JRSJX,0.48341622948646545,MEDIUM,ENGAGE
4830-FAXFM,0.12400051206350327,LOW,MONITOR
1830-IPXVJ,0.009393171407282352,LOW,MONITOR
4690-LLKUA,0.35710039734840393,MEDIUM,ENGAGE
5804-HYIEZ,0.35896730422973633,MEDIUM,ENGAGE
2388-LAESQ,0.013582258485257626,LOW,MONITOR
5533-RJFTJ,0.20434649288654327,LOW,MONITOR
4706-AXVKM,0.7505303621292114,HIGH,URGENT
0997-YTLNY,0.10884281247854233,LOW,MONITOR
7971-HLVXI,0.05178745836019516,LOW,MONITOR
7337-CINUD,0.014488151296973228,LOW,MONITOR
1379-FRVEB,0.6914727091789246,HIGH,URGENT
4753-PADAS,0.19426527619361877,LOW,MONITOR
5701-GUXDC,0.041143178939819336,LOW,MONITOR
7235-NXZCP,0.7347888350486755,HIGH,URGENT
0668-OGMHD,0.23482006788253784,LOW,MONITOR
2812-REYAT,0.02083463966846466,LOW,MONITOR
8779-YIQQA,0.030169615522027016,LOW,MONITOR
9701-CDXHR,0.12655307352542877,LOW,MONITOR
7130-CTCUS,0.20630155503749847,LOW,MONITOR
1894-IGFSG,0.3847838044166565,MEDIUM,ENGAGE
0871-URUWO,0.7052381634712219,HIGH,URGENT
0057-QBUQH,0.031094612553715706,LOW,MONITOR
9611-CTWIH,0.7399311065673828,HIGH,URGENT
8058-DMYRU,0.44467344880104065,MEDIUM,ENGAGE
5351-QESIO,0.4722955822944641,MEDIUM,ENGAGE
4302-ZYFEL,0.005575553048402071,LOW,MONITOR
6134-KWTBV,0.01330736093223095,LOW,MONITOR
2034-GDRCN,0.7628583908081055,HIGH,URGENT
9544-PYPSJ,0.25057271122932434,LOW,MONITOR
4208-UFFGW,0.5371437072753906,MEDIUM,ENGAGE
9537-JALFH,0.0076830144971609116,LOW,MONITOR
4415-IJZTP,0.8665361404418945,HIGH,URGENT
4701-MLJPN,0.13901443779468536,LOW,MONITOR
