customer_id,churn_probability,risk_level,retention_priority,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,actual_churn
4376-KFVRS,0.0122004523873329,LOW,MONITOR,72,114.05,8468.2,Two year,Fiber optic,Credit card (automatic),Yes,Yes,Yes,No
2754-SDJRD,0.8135728240013123,HIGH,URGENT,8,100.15,908.55,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,Yes,No
9917-KWRBE,0.083994947373867,LOW,MONITOR,41,78.35,3211.2,One year,DSL,Credit card (automatic),No,Yes,Yes,No
0365-GXEZS,0.4408303797245025,MEDIUM,ENGAGE,18,78.2,1468.75,Month-to-month,Fiber optic,Electronic check,Yes,No,No,No
9385-NXKDA,0.0031111047137528,LOW,MONITOR,72,82.65,5919.35,Two year,DSL,Credit card (automatic),No,Yes,Yes,No
4686-UXDML,0.6123734712600708,HIGH,URGENT,21,99.85,1992.55,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,No
2227-JRSJX,0.4834162294864654,MEDIUM,ENGAGE,21,99.15,1956.4,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,No
4830-FAXFM,0.1240005120635032,LOW,MONITOR,19,24.1,439.2,Month-to-month,No,Credit card (automatic),No internet service,No internet service,Yes,No
1830-IPXVJ,0.0093931714072823,LOW,MONITOR,61,19.75,1311.6,Two year,No,Credit card (automatic),No internet service,No internet service,No,No
4690-LLKUA,0.3571003973484039,MEDIUM,ENGAGE,17,45.05,770.6,Month-to-month,DSL,Electronic check,No,No,Yes,Yes
5804-HYIEZ,0.3589673042297363,MEDIUM,ENGAGE,70,106.05,7554.05,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No
2388-LAESQ,0.0135822584852576,LOW,MONITOR,72,114.85,8317.95,Two year,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,No
5533-RJFTJ,0.2043464928865432,LOW,MONITOR,49,30.2,1453.1,Month-to-month,DSL,Bank transfer (automatic),No,No,Yes,No
4706-AXVKM,0.7505303621292114,HIGH,URGENT,11,84.8,906.85,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes
0997-YTLNY,0.1088428124785423,LOW,MONITOR,19,48.8,953.65,Month-to-month,DSL,Mailed check,Yes,No,No,No
7971-HLVXI,0.0517874583601951,LOW,MONITOR,72,84.5,6130.85,Two year,Fiber optic,Credit card (automatic),No,No,Yes,No
7337-CINUD,0.0144881512969732,LOW,MONITOR,8,19.5,159.35,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
1379-FRVEB,0.6914727091789246,HIGH,URGENT,15,91.0,1430.05,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No
4753-PADAS,0.1942652761936187,LOW,MONITOR,67,105.7,6816.95,One year,Fiber optic,Bank transfer (automatic),No,No,Yes,No
5701-GUXDC,0.0411431789398193,LOW,MONITOR,26,35.4,978.6,One year,DSL,Credit card (automatic),No,Yes,No,No
7235-NXZCP,0.7347888350486755,HIGH,URGENT,2,74.85,156.4,Month-to-month,Fiber optic,Mailed check,No,No,Yes,Yes
0668-OGMHD,0.2348200678825378,LOW,MONITOR,21,28.5,629.35,Month-to-month,DSL,Electronic check,No,Yes,No,No
2812-REYAT,0.0208346396684646,LOW,MONITOR,49,20.05,923.1,One year,No,Bank transfer (automatic),No internet service,No internet service,Yes,No
8779-YIQQA,0.030169615522027,LOW,MONITOR,21,19.8,350.1,One year,No,Mailed check,No internet service,No internet service,No,No
9701-CDXHR,0.1265530735254287,LOW,MONITOR,51,69.15,3649.6,Month-to-month,Fiber optic,Mailed check,No,No,No,No
7130-CTCUS,0.2063015550374984,LOW,MONITOR,16,54.55,825.1,Month-to-month,DSL,Bank transfer (automatic),No,Yes,Yes,No
1894-IGFSG,0.3847838044166565,MEDIUM,ENGAGE,22,89.25,1907.85,Month-to-month,Fiber optic,Electronic check,No,No,No,Yes
0871-URUWO,0.7052381634712219,HIGH,URGENT,13,102.25,1359.0,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,Yes
0057-QBUQH,0.0310946125537157,LOW,MONITOR,43,25.1,1070.15,Two year,No,Electronic check,No internet service,No internet service,Yes,No
9611-CTWIH,0.7399311065673828,HIGH,URGENT,3,89.45,240.45,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
8058-DMYRU,0.4446734488010406,MEDIUM,ENGAGE,54,90.05,4931.8,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No
5351-QESIO,0.4722955822944641,MEDIUM,ENGAGE,1,24.2,24.2,Month-to-month,DSL,Mailed check,No,No,No,No
4302-ZYFEL,0.005575553048402,LOW,MONITOR,69,20.55,1403.1,One year,No,Credit card (automatic),No internet service,No internet service,Yes,No
6134-KWTBV,0.0133073609322309,LOW,MONITOR,62,23.4,1429.65,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
2034-GDRCN,0.7628583908081055,HIGH,URGENT,2,90.4,168.2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
9544-PYPSJ,0.2505727112293243,LOW,MONITOR,62,96.1,6019.35,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,No
4208-UFFGW,0.5371437072753906,MEDIUM,ENGAGE,2,44.95,85.15,Month-to-month,DSL,Mailed check,No,No,No,Yes
9537-JALFH,0.0076830144971609,LOW,MONITOR,69,19.9,1356.7,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,No
4415-IJZTP,0.8665361404418945,HIGH,URGENT,1,74.5,74.5,Month-to-month,Fiber optic,Electronic check,No,No,Yes,Yes
4701-MLJPN,0.1390144377946853,LOW,MONITOR,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Yes,No,Yes,Yes
7515-LODFU,0.003656645072624,LOW,MONITOR,69,20.3,1356.3,Two year,No,Credit card (automatic),No internet service,No internet service,No,No
4927-WWOOZ,0.8491306900978088,HIGH,URGENT,2,91.45,171.45,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No
4067-HLYQI,0.4215194582939148,MEDIUM,ENGAGE,33,70.4,2406.1,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,No
6184-DYUOB,0.1888506114482879,LOW,MONITOR,3,19.6,55.25,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,No
9209-NWPGU,0.0840324237942695,LOW,MONITOR,44,65.4,2774.55,One year,DSL,Electronic check,Yes,Yes,No,No
9851-KIELU,0.702937662601471,HIGH,URGENT,10,110.1,1043.3,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes
3199-XGZCY,0.7162372469902039,HIGH,URGENT,8,75.25,576.7,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No
4226-KKDON,0.2222634404897689,LOW,MONITOR,8,66.65,520.95,Month-to-month,DSL,Electronic check,Yes,No,Yes,No
1085-LDWAM,0.0057923379354178,LOW,MONITOR,69,20.35,1442.65,One year,No,Credit card (automatic),No internet service,No internet service,Yes,No
6825-UYPFK,0.2187832444906234,LOW,MONITOR,23,75.6,1758.6,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No,Yes
