feature,test,statistic,p_value,effect_size,effect_metric,sample_size,absolute_effect_size
tenure,mann_whitney_u,2515538.0,2.419635517951866e-208,-0.4797343510572577,rank_biserial,7043,0.4797343510572577
Contract,chi_square,1184.5965720837926,5.863038300673391e-258,0.4101156965761409,cramers_v,7043,0.4101156965761409
OnlineSecurity,chi_square,849.9989679615965,2.661149635176552e-185,0.3474004326740552,cramers_v,7043,0.3474004326740552
TechSupport,chi_square,828.1970684587394,1.4430840279998987e-180,0.3429161982469257,cramers_v,7043,0.3429161982469257
InternetService,chi_square,732.309589667794,9.571788222840544e-160,0.32245455521230887,cramers_v,7043,0.32245455521230887
PaymentMethod,chi_square,648.1423274814,3.6823546520097993e-140,0.30335862555407056,cramers_v,7043,0.30335862555407056
TotalCharges,mann_whitney_u,3381224.0,5.685033866207314e-83,-0.3006924568101238,rank_biserial,7043,0.3006924568101238
OnlineBackup,chi_square,601.812790113409,2.0797592160864276e-131,0.2923155121954445,cramers_v,7043,0.2923155121954445
DeviceProtection,chi_square,558.419369407389,5.505219496457244e-122,0.281579732968073,cramers_v,7043,0.281579732968073
MonthlyCharges,mann_whitney_u,6003125.5,3.311627651988585e-54,0.24157137914125104,rank_biserial,7043,0.24157137914125104
StreamingMovies,chi_square,375.6614793452656,2.667756755723681e-82,0.23095080906926801,cramers_v,7043,0.23095080906926801
StreamingTV,chi_square,374.2039433109813,5.528994485739183e-82,0.2305023384466809,cramers_v,7043,0.2305023384466809
PaperlessBilling,chi_square,258.27764906707307,4.073354668665985e-58,0.19149814355338285,cramers_v,7043,0.19149814355338285
Dependents,chi_square,189.12924940423474,4.9249216612154196e-43,0.1638703967886369,cramers_v,7043,0.1638703967886369
Partner,chi_square,158.7333820309922,2.1399113440759935e-36,0.15012578474988478,cramers_v,7043,0.15012578474988478
MultipleLines,chi_square,11.33044148319756,0.0034643829548773003,0.04010925283378871,cramers_v,7043,0.04010925283378871
PhoneService,chi_square,0.9150329892546948,0.3387825358066928,0.011398285522718045,cramers_v,7043,0.011398285522718045
gender,chi_square,0.4840828822091383,0.48657873605618596,0.008290505631771371,cramers_v,7043,0.008290505631771371

